Country,Total vaccinations
Andorra,2526
Anguilla,3929
Argentina,1648957
Australia,94908
Austria,860142
Azerbaijan,411496
Bahrain,514559
Bangladesh,4013963
Barbados,49317
Belarus,20944
Belgium,990629
Belize,1466
Bermuda,23939
Bolivia,119080
Brazil,11357494
Bulgaria,302151
Cambodia,89506
Canada,2543253
Cayman Islands,26508
Chile,5089683
China,52520000
Colombia,360635
Costa Rica,204586
Croatia,24200
Cyprus,100000
Czech Republic,902605
Denmark,759160
Dominica,7202
Dominican Republic,480327
Ecuador,75258
El Salvador,1600
Estonia,150080
Faroe Islands,8068
Falkland Islands,1732
Finland,575749
France,5972593
Germany,8161238
Gibraltar,44240
Greece,1158386
Greenland,3927
Guatemala,2427
Hong Kong,113500
Hungary,1425697
Iceland,42027
India,24367906
Indonesia,4022544
Iran,10000
Ireland,523069
Israel,8975914
Italy,5782615
Japan,107558
Jersey,33511
Jordan,15000
Kazakhstan,22294
Latvia,86164
Lithuania,316873
Luxembourg,47515
Malyasia,166363
Malta,101776
Mauritius,3843
Mexico,3100868
Moldova,3849
Montenegro,3062
Morocco,4734200
Myanmar,103142
Netherlands,1619839
New Zealand,9431
Norway,606152
Pakistan,72882
Peru,395693
Phillipines,44000
Poland,4086863
Portugal,1044091
Romania,1870244
Russia,6694349
Rwanda,158898
Senegal,68017
Serbia,1750533
Seychelles,84468
Singapore,611314
Slovakia,569021
South Africa,107054
South Korea,446941
Spain,4848648
Sweden,986389
Switzerland,948678
Turkey,10222994
Ukraine,23480
United Kingdom,23773959
United States,93692958
Uruguay,122510
Venezuela,12194
Zimbabwe,35761
