"country","continent","lifeExp","pop","gdpPercap","HDI","deaths"
"Australia","Oceania",81.235,20434176,34435.36744,0.944,50
"China","Asia",72.961,1318683096,4959.114854,0.761,1000
"Denmark","Europe",78.332,5468120,35278.41874,0.94,3897
"Egypt","Africa",71.338,80264543,5581.180998,0.707,1500
"France","Europe",80.657,61083916,30470.0167,0.901,8000
"Haiti","Americas",60.916,8502814,1201.637154,0.51,300
"India","Asia",64.698,1110396331,2452.210407,0.645,12
"Jordan","Asia",72.535,6053193,4519.461171,0.729,70
"Niger","Africa",56.867,12894865,619.6768924,0.394,1 
"Nigeria","Africa",46.859,135031164,2013.977305,0.539,1 
"United Kingdom","Europe",79.425,60776238,33203.26128,0.926,4000
"United States","Americas",78.242,301139947,42951.65309,0.923,5000
"Zimbabwe","Africa",43.487,12311143,469.7092981,0.571,11
